name,email,password
Rebecca Sanchez, "rebecca.sanchez@uwaterloo.ca", "e79d066e86339e1d7b6a063c60b8ef8398735e8912b7eaafacf3936237badfd6"
Nancy Rose, "nancy.rose@uwaterloo.ca", "b9078c999d3860948db4f59cf6e9ed3c524dba0460a2cf40769d02bd81a702ab"
Russell Chavez, "russell.chavez@uwaterloo.ca", "933a2f0e2e66e1da1d9b3567e36922b96a69c67af6e1d13744756ebb79222e8e"
Donald Ferguson, "donald.ferguson@uwaterloo.ca", "e726b861bbdd26a3156fa0ac846fd260fc5d872d62589bb9def77fe35e559ac6"
Katherine Roberts, "katherine.roberts@uwaterloo.ca", "318427005705e4c72dd93ba77ec10a9b88b2f8874a4e10520507f5ae26c52b48"
Matthew Roberts, "matthew.roberts@uwaterloo.ca", "ee97a74dc9b1241b80b0ddd1e6fb5e2c40f7e1caaaf3293dbfa349ad89744535"
Amber Nelson, "amber.nelson@uwaterloo.ca", "2b7c11392e10e24a613f18bb8b7b1db1da538a71698e26f674857b87542e4b92"
Arthur Martin, "arthur.martin@uwaterloo.ca", "dc958cbcb520048677d82762970c80b2230fad36e0cf635f769b0e76a968499e"
Roy Hunter, "roy.hunter@uwaterloo.ca", "8ce712c0e586863300e91e0e3b5a262f18ccae7e7f7b9bd781e372aa06ea03d7"
Christopher Alexander, "christopher.alexander@uwaterloo.ca", "fd8f6a5df55c86d0dc23c05e63f623591da4f2b39898c1cf307bf0c166ed7b16"
Joyce Mills, "joyce.mills@uwaterloo.ca", "fd0f9f0b4ee36e8c1c74ca1a124cd67ddf77251213f61a5318b3291f47197f59"
Amber Peterson, "amber.peterson@uwaterloo.ca", "9330d1f65ae2434d288db79825441ca5f3b08ab18484f07898ade1747306f46a"
Lauren Stephens, "lauren.stephens@uwaterloo.ca", "268fa697d843f36a88847f3d065012cec46e0c5cd6de5222e76cc6f51d92bde0"
Shirley Ford, "shirley.ford@uwaterloo.ca", "a27611adf566c364d8ca65d48fdecb60a7ded5623843fbb36c2a1dbef6c63249"
Adam Martinez, "adam.martinez@uwaterloo.ca", "83588ed8e3d85fefe2b3636e5280143895ad3400fa1afbcafe339cb0dc720878"
Victoria Roberts, "victoria.roberts@uwaterloo.ca", "fdfd0a6d939df57bcf495162ec916793662830dc0d18dc514c2fb0826894bbef"
Rose Crawford, "rose.crawford@uwaterloo.ca", "fd2a4264980c3b8027ce0fd07722b211460895001fa8893d86cbebc4aa8a28da"
Richard Cruz, "richard.cruz@uwaterloo.ca", "afc64baa4ed2f6a502365e76c2e637ee146dcdfaae05bb755ef4a543d39a57c4"
Albert Nguyen, "albert.nguyen@uwaterloo.ca", "1a914d12ced1e4f6afcf94b1655597475c826641fb3e5fdb43f7c19509ac371f"
Edward Collins, "edward.collins@uwaterloo.ca", "0ea6910090ba4932cbe71876b0ddd8fa1b85ec7f050525fe83acf62eee9e4297"
Ruth Price, "ruth.price@uwaterloo.ca", "bda2e1619189f1501022bee966e4e375621f4cc5daf2032110f606a5ef3bbca4"
Janice Nguyen, "janice.nguyen@uwaterloo.ca", "d5d713ee497457e6c4e9d2abb1386255d1bb84d656aaafaa60c5ed0d698930eb"
Debra Davis, "debra.davis@uwaterloo.ca", "d2bd4c0253a884a33791b4b5cfee06a0e1cc2f3bc150c7f9d55f72694fe1752d"
Keith Barnes, "keith.barnes@uwaterloo.ca", "2337f0ed5707c14931dc7ac17f7eaf1570ee33a63babc61a1f2fd5160fce4d50"
Logan Mason, "logan.mason@uwaterloo.ca", "931f0d48caffa5483d73f59ab7aba4a2616381d9fc664f925306b21890b54f23"
Louis Young, "louis.young@uwaterloo.ca", "76113533f013272260ebb97c17ec7c3fe32e99a69266f032e9e7ff26b6c2cdca"
Rebecca Ross, "rebecca.ross@uwaterloo.ca", "001f62fac1bec46f5de7e3b41fe29625ad6438989f275d369c63d85a6d25e587"
Dorothy Lee, "dorothy.lee@uwaterloo.ca", "9048f9cbc8801410b165c27fb0908d3ea538840545238020ce017f88bb4893e0"
Elizabeth Stephens, "elizabeth.stephens@uwaterloo.ca", "46a18d5b8b28e85032bde6ccedef531c4d0ad8b6938676b9770d9fbfd095c173"
Kathleen Ramos, "kathleen.ramos@uwaterloo.ca", "aca752aa16b352e8bcc6c97c298a9f59ab221d7ee06dd841fd20eacd9498332d"
Diana Gomez, "diana.gomez@uwaterloo.ca", "059da7e5f75a5ffeae09b7eedacdfa31f1e9a8be594167f8416d517e21441d7a"
Christine Johnson, "christine.johnson@uwaterloo.ca", "c7de2a16dc9d3b88df78cb65ad28e53a71971f409569eddd589c439d07276faa"
James Chavez, "james.chavez@uwaterloo.ca", "54e0ee2af6d396840c8e90f0e00daefb1e0f066f74f460c656802ec11f46ba91"
Maria Martinez, "maria.martinez@uwaterloo.ca", "04dedffbc93861059bd1baf6fe44849f2c1e34e3ece88fcd3b52a0371e18d5ea"
Joyce Bailey, "joyce.bailey@uwaterloo.ca", "8f928221d07fc5f13bdca5559f1d2dda2ed6bad10cd187683b28f97887099249"
Russell Sullivan, "russell.sullivan@uwaterloo.ca", "c3d95b5f8839dcaa5b92c1b026e55a19dac25c3a4f100476b94a9167e3d54b31"
Patrick Flores, "patrick.flores@uwaterloo.ca", "dca188c4a6649a865adc9e85064122207bc51eb5ba76d43e906b8235613ee76c"
Deborah Davis, "deborah.davis@uwaterloo.ca", "7d597f0570d0abe5453b8398ecf5b124a294b5ebf8ae8ebb06defaa816f2ebdc"
Jacqueline Romero, "jacqueline.romero@uwaterloo.ca", "bddd8c9e8d1176fb6ab3d5fb1ff049bc61cd87c04a83d0b6c8510580ae587347"
Jack Bell, "jack.bell@uwaterloo.ca", "4c89adf6337347c14f1b800f81c0384ec98b4a0ea337adfd14015ed5a9972bab"
Alice Patterson, "alice.patterson@uwaterloo.ca", "e8c5141f7793bdf63413a20d26657f21892770f5797c06ce9fe0641644ad9d9a"
Austin Morales, "austin.morales@uwaterloo.ca", "32fa40f05d152523030bd1e8abd0a40cd4bd9b629d83e3c17e75fd92c7a33ad3"
George Washington, "george.washington@uwaterloo.ca", "438a6839869e6b03b2e6bb156b1264c0632ef5cc210b2a579e539375e35c438a"
Jacqueline Ferguson, "jacqueline.ferguson@uwaterloo.ca", "1e4f345717e78477d1721fd2b5841fe295a22cf67678e7dd362bf67d2ddaa81d"
Sandra Edwards, "sandra.edwards@uwaterloo.ca", "03fdb2a0cb79867d8c011a405064cff91561793350dc9133ede4703a6febcf7c"
Emily Holmes, "emily.holmes@uwaterloo.ca", "211a70e0a228c293ba15ef5e4b2972dd388e14edac1ce2eb6e3dcd518ea413cd"
Sandra Patel, "sandra.patel@uwaterloo.ca", "309617c0c1d610d1057255e8998be057c4559b1daa0d97de7411e06e085f2fa3"
Daniel Wagner, "daniel.wagner@uwaterloo.ca", "0edc40364ac9640b8fe8fb3bf3029acbae9ea78f29abc9d385dd1cfe240d11de"
Austin Owens, "austin.owens@uwaterloo.ca", "4ca9e92f077b27fa8c73dafe3afcd4441f3d94799cfc04cf8bdcad4b8516d13d"
Charles Allen, "charles.allen@uwaterloo.ca", "5ee9da92040e014ab7a350a48996882130e56276a8546901137f23fe02662a24"
Wayne Shaw, "wayne.shaw@uwaterloo.ca", "0367c66b327dce4263c786768434b477f5314ba103c243150ca4f2cc78b073a8"
Ann Scott, "ann.scott@uwaterloo.ca", "30885feb8b5f4743f926617c085a2f58298c69ab4b9e15773bf3b53fc8363f04"
Amy Porter, "amy.porter@uwaterloo.ca", "c6b161db1cccb4446901513600e8aa654eed2882ee42c1a48ce3334a26e176d4"
Walter Baker, "walter.baker@uwaterloo.ca", "d1c87a878a0d454e32cb3bf26b79def3c2ac9cb2378c371d6964a615ee49676c"
Gary Evans, "gary.evans@uwaterloo.ca", "9c7512e70990c1d4411175748fca97a115341c2d5e552896ec08e2c77aabc435"
Diana Warren, "diana.warren@uwaterloo.ca", "73e92d391ce4e5a777fea27ff73a83e2780a84207f82443334da6e5f0b7bc94d"
Arthur Gray, "arthur.gray@uwaterloo.ca", "d83c0b11e8c931a2fbe41ec36d7269c8255989b3cd8bacadb59cd1ce043e4ba4"
Peter Mendez, "peter.mendez@uwaterloo.ca", "9d65bcd07cd110a6ef03527ccb45e5bbe8621629784a91fa88c18453090451c4"
Timothy Wells, "timothy.wells@uwaterloo.ca", "3565b9365128b55871fe3ec5e513039fd32d4c5d99fca30e2c71c4f4f5911230"
Angela Hill, "angela.hill@uwaterloo.ca", "07fdbd722271c9798001b3a4fa6aec53dcafb3c47aa241267d411e2467e918f6"
Martha Murray, "martha.murray@uwaterloo.ca", "10bac676f0c9e35ccae2f6e04e5ef118d62e2d889f5b5043fb65a23c51b6402c"
Juan Daniels, "juan.daniels@uwaterloo.ca", "9d35c0efc34e73415a22ce826c59f69719d30054d370838c5818d64a50903ef2"
Patricia Graham, "patricia.graham@uwaterloo.ca", "ab783da47ee463d60e7f47e20e1f4b4d0d38c6e14e45a42674faf20ba044f426"
Albert Allen, "albert.allen@uwaterloo.ca", "774bf4a67031bd4ca607dc54acf383dcd7f0499a729e32ad781556601dc4a152"
Ruth Foster, "ruth.foster@uwaterloo.ca", "b506954b62ffe1d39fbec866f71765c4e60bee4942b122f1bc6931eac9c21679"
