Jacob Salazar, jacob.salazar@uwaterloo.ca, quartzumbrellabat76
Bryan Foster, bryan.foster@uwaterloo.ca, figjungleyawn74
John Lewis, john.lewis@uwaterloo.ca, vultureorangemountain84
Shirley Perez, shirley.perez@uwaterloo.ca, turtlenectarinegrass85
Emily Wagner, emily.wagner@uwaterloo.ca, whalenewtmango13
Janice Mendoza, janice.mendoza@uwaterloo.ca, applefrogxerus49
Patrick Meyer, patrick.meyer@uwaterloo.ca, quailbanananewt88
Randy Foster, randy.foster@uwaterloo.ca, flowertangerineraspberry36
Jesse Castillo, jesse.castillo@uwaterloo.ca, umbrellasharkbreeze81
Carl Anderson, carl.anderson@uwaterloo.ca, jungleurchinbanana44
Brandon Brooks, brandon.brooks@uwaterloo.ca, antkettlegrape80
Harry Perry, harry.perry@uwaterloo.ca, peakcherryvalley95
Stanley Nichols, stanley.nichols@uwaterloo.ca, zucchiniautumnbreeze98
Harold Hunter, harold.hunter@uwaterloo.ca, orangexylophoneugli50
Jordan Robertson, jordan.robertson@uwaterloo.ca, sandyakugli47
Jesse Clark, jesse.clark@uwaterloo.ca, lemonwindquince23
Frank Kennedy, frank.kennedy@uwaterloo.ca, tangerineurchinquince32
Aaron Wells, aaron.wells@uwaterloo.ca, valleylemonrabbit70
Karen Soto, karen.soto@uwaterloo.ca, raspberryxylophonemountain54
Billy Thompson, billy.thompson@uwaterloo.ca, goatearthice37
Joseph Cole, joseph.cole@uwaterloo.ca, jellyfishquailelephant63
Deborah Simpson, deborah.simpson@uwaterloo.ca, zebraorangegoat39
Frank Young, frank.young@uwaterloo.ca, strawberryyellowelephant31
Heather Reynolds, heather.reynolds@uwaterloo.ca, kiwixerusgoat66
Carol Munoz, carol.munoz@uwaterloo.ca, lionwatermelonkiwi40
Victoria Clark, victoria.clark@uwaterloo.ca, dogxerusbanana23
Adam Richardson, adam.richardson@uwaterloo.ca, anttangerinedog89
Lawrence Shaw, lawrence.shaw@uwaterloo.ca, nightowljellyfish28
Stephen Flores, stephen.flores@uwaterloo.ca, sandxiguariver39
Adam Alexander, adam.alexander@uwaterloo.ca, goatpapayahill45
Nicole Meyer, nicole.meyer@uwaterloo.ca, xerusrabbitcat66
Terry Brown, terry.brown@uwaterloo.ca, antrabbitquince25
Johnny Powell, johnny.powell@uwaterloo.ca, xerusgoatkettle81
Gloria Alvarez, gloria.alvarez@uwaterloo.ca, mangoapplestrawberry79
Brandon Mitchell, brandon.mitchell@uwaterloo.ca, goatmountainwhale39
Sara Hayes, sara.hayes@uwaterloo.ca, dewwatermelonturtle22
Alan Murphy, alan.murphy@uwaterloo.ca, datevulturejungle74
Eugene Coleman, eugene.coleman@uwaterloo.ca, xylophoneurchinpapaya26
Shirley Henderson, shirley.henderson@uwaterloo.ca, yakbananarabbit60
Kevin Davis, kevin.davis@uwaterloo.ca, grapecloudjellyfish28
Doris Holmes, doris.holmes@uwaterloo.ca, sandkangaroozebra47
Emma Stone, emma.stone@uwaterloo.ca, nectarineflowerturtle32
Evelyn Ellis, evelyn.ellis@uwaterloo.ca, strawberrytangerinepapaya81
Mary Ramos, mary.ramos@uwaterloo.ca, lionkangarooowl42
David Robertson, david.robertson@uwaterloo.ca, newtfroghill57
Joshua Ramirez, joshua.ramirez@uwaterloo.ca, yakelephantjungle93
Theresa Perry, theresa.perry@uwaterloo.ca, umbrellaflowerhoneydew89
Alexander Morales, alexander.morales@uwaterloo.ca, hillcatugli99
Joshua Young, joshua.young@uwaterloo.ca, grapesharkwhale82
Andrew Jordan, andrew.jordan@uwaterloo.ca, kiwikiwitangerine19
Lawrence Ortiz, lawrence.ortiz@uwaterloo.ca, owlurchinstrawberry55
Kelly Brooks, kelly.brooks@uwaterloo.ca, grasscatwind27
Madison Evans, madison.evans@uwaterloo.ca, watermelonmangoturtle93
Ethan White, ethan.white@uwaterloo.ca, whaleturtlekangaroo87
Susan Rivera, susan.rivera@uwaterloo.ca, honeydewappleearth31
Aaron Peterson, aaron.peterson@uwaterloo.ca, grasscatyak53
Benjamin Simmons, benjamin.simmons@uwaterloo.ca, newtvanillaurchin33
Amanda King, amanda.king@uwaterloo.ca, uglibatnectarine63
Bobby Olson, bobby.olson@uwaterloo.ca, valleyflowerfig14
Kathleen Meyer, kathleen.meyer@uwaterloo.ca, papayavanillayak41
Karen Ferguson, karen.ferguson@uwaterloo.ca, xylophonenectarinebreeze78
