Quincy Richardson, quincy.richardson@uwaterloo.ca, antwindmonkey97
Ximena Ward, ximena.ward@uwaterloo.ca, honeydewquincegrass58
Grace Mendoza, grace.mendoza@uwaterloo.ca, watermelontangerinequince36
Kira Johnson, kira.johnson@uwaterloo.ca, cloudelderberrytree60
Connor Morris, connor.morris@uwaterloo.ca, iguanapeakhorse86
Sophie Perez, sophie.perez@uwaterloo.ca, kettlelemonautumn98
Tina Sanchez, tina.sanchez@uwaterloo.ca, earthflowerlake90
Lara Collins, lara.collins@uwaterloo.ca, kiwiquinceyawn72
Rachel Evans, rachel.evans@uwaterloo.ca, nectarinejellyfishice23
Daisy Wood, daisy.wood@uwaterloo.ca, sanddogmango28
Holden Jackson, holden.jackson@uwaterloo.ca, urchinxerusquartz24
Hannah Baker, hannah.baker@uwaterloo.ca, goatdewkangaroo81
Quincy Bailey, quincy.bailey@uwaterloo.ca, yawnnectarineice10
Piper Gray, piper.gray@uwaterloo.ca, dateorangeocean12
Cameron Reyes, cameron.reyes@uwaterloo.ca, mountainwatermelongrape48
Aiden Nelson, aiden.nelson@uwaterloo.ca, sandquinceyawn24
Ruby Flores, ruby.flores@uwaterloo.ca, jellyfishnectarinekettle41
Caleb Ramirez, caleb.ramirez@uwaterloo.ca, urchinnightkettle72
Adam Lewis, adam.lewis@uwaterloo.ca, monkeyvalleyvanilla87
Oscar Mendoza, oscar.mendoza@uwaterloo.ca, raspberrydatemango14
Bianca Thomas, bianca.thomas@uwaterloo.ca, batxylophoneocean22
Hannah Richardson, hannah.richardson@uwaterloo.ca, mangovanillamonkey58
Piper Richardson, piper.richardson@uwaterloo.ca, newtmonkeyiguana28
Yara Bennett, yara.bennett@uwaterloo.ca, mountainpapayavanilla68
Xander Reyes, xander.reyes@uwaterloo.ca, valleytreekettle92
Charlie Scott, charlie.scott@uwaterloo.ca, papayamangojellyfish73
Fiona Miller, fiona.miller@uwaterloo.ca, icevulturekangaroo22
Delilah Gonzalez, delilah.gonzalez@uwaterloo.ca, tangerinequincexylophone48
